Name	Parent Skill	Mastery Level	Spell Cost	Casting Time 	Range 	Shape 	Duration	Effects	Container Breakdown	Add ons	Modifiers	Notes/Special Conditions	Flavor Line	Progressive spell conditions
Flaming Dart	Fire	Apprentice	10	5	Melee Reach (5–10 ft)	--	--	Deals 1 point of fire damage to a single target.	I. Target (1 Mana) → Damage (3 Mana)	Range: Melee Reach (3 Mana)	Progressive Spell (3 Mana)	• Fire resistance applies. • Flammable materials may ignite. • Missed attacks leave scorch marks but no ongoing hazard.	The first spark of mastery can one day kindle an inferno.	Apprentice: Single dart, 1 damage, melee reach (5–10 ft). • Novice: Damage shifts to Per Success, range expands to Short (30 ft). • Master: Multi-Target unlocked (up to 3 darts), each deals 2 damage. • High Master: Volley of up to 5 darts, each 2 damage, range Medium (60 ft). • Grand Master: Storm of flame — 7 darts, each 3 damage, may strike distinct targets or focus-fire one.
Ember Flick	Fire	Apprentice	7	4	Touch	--	Instantaneous	Deals 1 point of fire damage on contact.	I. Target (1 Mana) → Damage (3 Mana)	Range: Touch (2 Mana), Duration: Instantaneous (1 Mana)	--	• Extremely minor damage but reliable. • Often used to ignite small fires. • Ineffective against armored foes.	A spark in the palm can sting like a whip.	--
Heat Veil	Fire	Apprentice	6	3	Self	--	Combat Step	Grants +5% fire resistance or +1 Fortitude stat for 1 step.	I. Target (1 Mana) → Buff (2 Mana)	Range: Self (1 Mana), Duration: Combat Step (2 Mana)	--	• Protective effect fades quickly. • Stacks poorly with other resistance sources. • Cannot be extended beyond 1 step at Apprentice level.	A shimmer of heat shields the daring from the flame.	--
Scorching Ray	Fire	Novice	13	7	Short (30 ft)	--	Instantaneous	Deals 2 points of fire damage to a single target.	I. Target (1 Mana) → Damage (6 Mana for 2 points)	Range: Short (4 Mana), Duration: Instantaneous (1 Mana)	--	• Burns cause lingering pain and may ignite clothing. • Still weak against heavily armored foes. • More effective at short range than long.	A line of fire carves through the air, scorching whatever it touches.	--
Flame Wall	Fire	Novice	14	7	Medium (60 ft)	Wall (30 ft)	Combat Step	Creates a 30 ft wall of fire that inflicts 1 point of fire damage to any creature passing through.	I. AoE (2 Mana) → Damage (3 Mana)	Range: Medium (5 Mana), Shape: Wall (4 Mana), Duration: Combat Step (2 Mana)	--	• Burns are minor but unavoidable if passed through. • Provides light and intimidation even outside combat. • Ineffective in wide-open areas with no need for barriers.	A wall of fire erupts, daring any foe to cross through the flames.	--
Cinder Burst	Fire	Novice	16	8	Short (30 ft)	Radius (10 ft)	Instantaneous	Deals 1 point of fire damage to all creatures within a 10 ft radius of the burst.	I. AoE (2 Mana) → Damage (3 Mana)	Range: Short (4 Mana), Shape: Radius (3 Mana), Duration: Instantaneous (1 Mana), Scaling for AoE potency (3 Mana)	--	• Embers may ignite flammable terrain or objects. • Minor damage but useful for revealing hidden foes. • More intimidating than lethal.	A crackle of heat scatters sparks like wildfire across the battlefield.	--
Inferno Wave	Fire	Master	32	16	Medium (60 ft)	Cone (30 ft)	Combat Round	Deals 2 points of fire damage to all creatures in a 30 ft cone; targets struck must roll to avoid being knocked prone by the heat blast.	I. AoE (2 Mana) → Damage (6 Mana) → Knockdown rider (4 Mana)	Range: Medium (5 Mana), Shape: Cone (3 Mana), Duration: Combat Round (5 Mana), Scaling damage potency (7 Mana)	--	• Fire persists for 1 step on flammable terrain. • Visibility reduced by smoke. • Very risky to cast in enclosed spaces. • Terrifies most mundane creatures.	A roaring tide of fire floods forward, leaving only scorched earth and silence.	--
Pyroclasm	Fire	Master	38	19	Long (120 ft)	Sphere/Cube/Zone (20 ft)	Combat Round	Deals 3 points of fire damage on impact and creates burning terrain (1 damage per step if crossed).	I. AoE (2 Mana) → Damage (9 Mana for 3 points) → Create Terrain Effect (12 Mana)	Range: Long (7 Mana), Shape: Sphere/Zone (5 Mana), Duration: Combat Round (5 Mana)	--	• Creates difficult terrain for the duration. • Secondary burns may spread. • Enemies may panic from the sudden eruption. • High mana demand requires caution.	A volcanic eruption tears the battlefield apart in flame and molten stone.	--
Phoenix Surge	Fire	Master	41	21	Line of Sight	Radius (20 ft)	Instantaneous	Deals 3 points of fire damage to all creatures in a 20 ft radius burst, centered at chosen point within sight.	I. AoE (2 Mana) → Damage (9 Mana for 3 points)	Range: Line of Sight (10 Mana), Shape: Radius (6 Mana), Duration: Instantaneous (1 Mana), Scaling potency & scope (13 Mana)	--	• Briefly illuminates entire battlefield. • Fire may spread outward from the point of impact. • Requires open line of sight — ineffective underground. • Causes awe and fear even in allies.	A blazing phoenix erupts into the sky, scattering fire across all it surveys.	--
Hellstorm Crucible	Fire	High Master	74	37	Line of Sight	Sphere/Zone (40 ft)	2 Combat Rounds	Inflicts 4 fire damage per round within zone; Control effects include Grapple/Restrain as the fiery winds lash targets and Immobilize for those who fail their saves.	I. AoE (2 Mana) → Damage (12 Mana for 4 points) II. Control (2 Mana) → Grapple/Restrain (4 Mana) + Immobilize (6 Mana)	Range: Line of Sight (10 Mana), Shape: Sphere/Zone (11 Mana), Duration: 2 Combat Rounds (10 Mana), Scaling/zone intensity (17 Mana)	--	• Burning terrain persists even after spell ends. • High chance of suffocation or panic due to ash. • Can collapse structures from prolonged exposure. • Survivors often scarred permanently. • Casting visibly alters sky/weather for miles.	Flame cascades like rain from a molten sky, imprisoning all within a crucible of living fire.	--
