Primary Attribute	Secondary Attribute	Skill Type	Skill Tier	Skill Name	Parent Skill	Definition
STR	N/A	standard	1	Load-Bearing	N/A	Training in managing physical load across the body. This skill represents refined technique in carrying, hauling, and supporting heavy objects using efficient body posture and breathing control. It serves as the foundation for all advanced feats of strength involving static or mobile weight. Those trained in Load-Bearing are known for unshakable footing and calculated strength application under stress.
STR	N/A	standard	2	Powerlifting	Load-Bearing	Focused on the exertion of maximum strength in short, controlled lifts. Powerlifting emphasizes raw force in foundational lift forms—often with explosive or peak-effort movement. While rooted in personal challenge, it’s frequently used to overcome immovable obstacles or demonstrate sheer might. This skill builds the base for more refined and specialized lifting techniques.
STR	N/A	standard	3	Deadlift Mastery	Powerlifting	The lifter becomes one with the weight—executing a clean, grounded lift with spine-aligned control. This skill reflects perfection in lifting objects directly from the ground, whether for raw strength display or practical heavy hauling. Practitioners can move dead weight with surprising balance and control, avoiding wasted energy or strain. It is the mark of one who knows how to rise with power.
STR	N/A	standard	3	Max Squat	Powerlifting	This skill represents the perfected ability to lower and raise heavy loads using leg and core synergy. Max Squat is used when bearing weight that must be braced, absorbed, and controlled before movement. It symbolizes discipline under strain—knowing how to descend without collapse and rise without panic. Those trained in this skill are anchors in moments when stability is everything.
STR	N/A	standard	3	Clean and Press Pro	Powerlifting	A hybrid of power and control, this skill reflects the lifter’s ability to raise weight in stages and finish with an overhead drive. Clean and Press Pro represents both technical discipline and explosive follow-through. Often used in practical lifting or symbolic acts of victory, it’s a controlled storm of motion. Those who master it carry the mark of precision strength.
STR	N/A	standard	2	Endurance Carry	Load-Bearing	Where Powerlifting is short and explosive, Endurance Carry is slow and relentless. This skill is about bearing weight over time—across distance, terrain, or repeated use. Practitioners know how to pace the body, conserve energy, and lock into a rhythm that carries them far beyond raw strength alone. It’s not a sprint—it’s the will to bear the burden until the job is done.
STR	N/A	standard	3	Long Haul March	Endurance Carry	The art of walking with weight without breaking stride. Long Haul March reflects discipline in posture, footwork, and load adjustment over long distances. It is often trained for migrations, patrols, or missions where there is no relief until the end is earned. The journey isn’t lighter—but you carry it like it is.
STR	N/A	standard	3	Farmers Walk	Endurance Carry	A test of grip, stride, and spinal endurance, Farmers Walk trains the body to move under side-heavy or imbalanced load. This skill allows for controlled walking with weight in each hand—common in rural, industrial, or supply-based roles. It’s functional strength at its core, building patience and resilience through motion. When others drag, you walk like the weight belongs to you.
STR	N/A	standard	3	Pack Shuffle	Endurance Carry	Designed for forward motion under awkward or rear-weighted loads, Pack Shuffle emphasizes adaptability and pace. It is used when carrying full loads across terrain too unstable or narrow for full strides. Practitioners learn how to pivot, rest mid-march, and shift weight subtly with each step. Not fast, not flashy—just unstoppable.
STR	N/A	standard	2	Bulk Transfer	Load-Bearing	A team skill at heart, Bulk Transfer is the art of coordinating with others to move large or cumbersome objects. It focuses on timing, shared effort, and vocal or gesture-based signaling to maintain balance and prevent accidents. This skill is essential in labor, rescue, and construction scenarios where solo strength is not enough. It turns many into one—and weight into movement.
STR	N/A	standard	3	Coordinated Lift Leader	Bulk Transfer	This skill designates the one who commands rhythm and cues during a shared lift. A Coordinated Lift Leader ensures safety and unity across a group haul, adapting to shifting terrain or strain levels on the fly. It’s not just about lifting—it’s about directing energy where it's needed most. Those trained in this role carry both the weight and the team.
STR	N/A	standard	3	Group Weight Rhythm	Bulk Transfer	More than brute effort, this skill teaches attunement to group flow. Practitioners instinctively sync breathing, pace, and movement with others during a shared carry. It reduces shock, tilting, or drift—ensuring smoother motion for everyone involved. In a world where chaos breaks things, rhythm holds it all together.
STR	N/A	standard	3	Shift Weight Control	Bulk Transfer	This skill enables subtle redistribution of weight mid-motion—either to assist a struggling teammate or correct imbalance. Shift Weight Control is used in tight spaces, steep angles, or unstable settings where every pound must be placed with intent. It prevents disaster before it starts. The best practitioners make the hardest jobs look smooth.
STR	N/A	standard	1	Burst Power	N/A	The ability to harness stored strength in a single, high-impact moment. Burst Power is used to deliver rapid, explosive force—whether breaking free from restraints, shoving obstacles, or initiating a powerful strike. It emphasizes controlled detonation of effort, not prolonged application. This skill is the foundation of all techniques where sudden strength must overwhelm resistance.
STR	N/A	standard	2	Door Breach	Burst Power	Training focused on applying concentrated force to barriers, specifically doors, gates, or blockades. Door Breach combines timing, angle, and raw strength to create failure in hinges, locks, or latches. Often used in tactical or emergency situations, it allows entry without finesse—only sheer presence. The goal isn’t subtlety—it’s immediate access.
STR	N/A	standard	3	Ram Charge	Door Breach	A full-body impact designed to displace or disable targets or barriers with brute force. Ram Charge reflects precision in converting speed and mass into a forward strike, often initiated from a short distance. It’s used when there’s no time to slow down and no room for negotiation. Those who master it move like a battering ram in human form.
STR	N/A	standard	3	Hinge Pop	Door Breach	A focused application of pressure designed to disrupt a structural weak point. Hinge Pop is commonly used to remove or dislocate mounted barriers like doors, panels, or trap lids. The technique relies on knowing where to strike—and how to do so with minimum wasted effort. It’s quiet, fast, and devastating when used correctly.
STR	N/A	standard	3	Jam Shear	Door Breach	This skill targets mechanical or structural jams, applying sharp, decisive bursts of strength to shear, snap, or force movement. Jam Shear is used on tools, locked items, stuck panels, or pressure points that resist normal movement. Practitioners know how to shift their force sideways or diagonally for maximum leverage. In short: when it’s stuck, you make it move.
STR	N/A	standard	2	Explosive Sprint	Burst Power	A rapid, strength-driven dash meant to close short distances with overwhelming speed. Explosive Sprint isn’t about endurance—it’s about sudden propulsion. Useful for takedowns, charge openings, or escapes, this skill prioritizes raw thrust and leg drive over form. You don’t run with it—you launch.
STR	N/A	standard	3	Start Dash	Explosive Sprint	This skill perfects the moment when movement begins—the first step, the weight shift, the launch. Start Dash is trained for those who need the edge in reaction-based movement or combat openings. Whether from stillness or a crouch, it delivers instant motion when time is critical. It’s not how fast you run—it’s how fast you leave the ground.
STR	N/A	standard	3	Shoulder Tackle	Explosive Sprint	A kinetic strike using the shoulder to unbalance, topple, or displace a target. Shoulder Tackle converts linear momentum into close-range impact without needing a weapon. It’s used to break lines, burst through crowds, or slam opponents against surfaces. Practitioners are trained to absorb counter-force without losing balance.
STR	N/A	standard	3	Launch Leap	Explosive Sprint	A strength-based leap that emphasizes vertical or directional propulsion from a standing or moving position. Launch Leap is used to cross gaps, gain vertical advantage, or surprise targets with airborne aggression. This is not finesse—it’s the violent arc of controlled strength. Practiced users make jumps others won’t even attempt.
